"","CATAG6","Freq","Usage"
"1","12-17 Years Old",4089292.07300687,1
"2","18-25 Years Old",18589302.9733859,1
"3","26-34 Years Old",21068909.747251,1
"4","35-49 Years Old",30244687.4807661,1
"5","50-64 Years Old",33386737.7830553,1
"6","65 or Older",9872760.65301375,1
"7","12-17 Years Old",20779903.4240501,2
"8","18-25 Years Old",16331854.8003797,2
"9","26-34 Years Old",16764801.495405,2
"10","35-49 Years Old",30064801.3708282,2
"11","50-64 Years Old",28680149.0457174,2
"12","65 or Older",35029993.3962254,2
