"","NEWRACE2","Freq.x","Usage","Freq.y","percentage"
"1","Asian",2458451.76068489,1,13854986.6449388,17.7441655029163
"2","Black/Afr Am",13443737.1108828,1,31666924.1277113,42.4535615036838
"3","Hispanic",13691268.3461777,1,42447529.4515354,32.2545705794486
"4","More than one race",2406645.01113523,1,4457382.96405999,53.9923320598674
"5","Native Am/AK Native ",763011.43239465,1,1372208.74966554,55.6046179257072
"6","Native HI/Other Pac Isl",510909.152976053,1,1026402.1875776,49.7767014879268
"7","White",83977667.8962276,1,170077760.117596,49.3760429571528
"8","Asian",11396534.8842539,2,13854986.6449388,82.2558344970837
"9","Black/Afr Am",18223187.0168285,2,31666924.1277113,57.5464384963162
"10","Hispanic",28756261.1053577,2,42447529.4515354,67.7454294205514
"11","More than one race",2050737.95292476,2,4457382.96405999,46.0076679401326
"12","Native Am/AK Native ",609197.317270894,2,1372208.74966554,44.3953820742928
"13","Native HI/Other Pac Isl",515493.034601548,2,1026402.1875776,50.2232985120732
"14","White",86100092.2213685,2,170077760.117596,50.6239570428472
