"","CASEID","ANALWT_C","VESTR"
"1",1,8587.828634212,40025
"2",2,4260.686570097,40041
"3",3,874.478772246,40010
"4",4,4816.381146884,40019
"5",5,18967.391777593,40016
"6",6,2255.180618022,40034
"7",7,597.3226341,40047
"8",8,1673.098294701,40015
"9",9,8111.705797208,40012
"10",10,3009.549525438,40012
"11",11,2392.810427788,40008
"12",12,775.705089207,40008
"13",13,2363.020967519,40012
"14",14,6998.890022386,40019
"15",15,1416.762586777,40031
"16",16,599.030208561,40044
"17",17,3193.800738569,40041
"18",18,1163.187334169,40024
"19",19,1877.771006036,40044
"20",20,11516.188404211,40035
"21",21,1780.177311642,40013
"22",22,657.709172854,40004
"23",23,44571.735628272,40026
"24",24,5363.985557727,40016
"25",25,7739.011555959,40046
"26",26,989.425653393,40033
"27",27,1680.17515587,40020
"28",28,1065.630950127,40050
"29",29,7458.627815966,40038
"30",30,313.811129037,40037
"31",31,150.63462363,40046
"32",32,8959.458221189,40025
"33",33,14565.138553244,40030
"34",34,1200.362487197,40013
"35",35,886.6564459,40023
"36",36,3582.394156214,40008
"37",37,14725.608702507,40043
"38",38,7266.223859247,40029
"39",39,2308.121839993,40017
"40",40,643.782586,40021
"41",41,1906.744411034,40030
"42",42,5441.186611596,40028
"43",43,4088.476588246,40025
"44",44,16822.066132318,40029
"45",45,315.89017508,40003
"46",46,19363.870795297,40049
"47",47,547.15483491,40047
"48",48,342.966606246,40028
"49",49,184.246238027,40044
"50",50,1670.629655311,40026
"51",51,2731.720448199,40031
"52",52,2950.479154742,40050
"53",53,2308.604273656,40014
"54",54,4743.014087102,40020
"55",55,6499.338451783,40003
"56",56,2531.877503044,40049
"57",57,1941.006378449,40042
"58",58,779.857752365,40004
"59",59,2217.336892671,40032
"60",60,3176.367147904,40007
"61",61,15289.19075986,40012
"62",62,592.158000691,40028
"63",63,432.054328086,40048
"64",64,6094.148525927,40010
"65",65,2318.766593327,40044
"66",66,3397.739600195,40005
"67",67,700.771196775,40018
"68",68,9133.334817245,40045
"69",69,5063.022770901,40049
"70",70,591.361827064,40001
"71",71,594.117127305,40036
"72",72,1218.516143959,40033
"73",73,8445.458238497,40033
"74",74,2670.657452276,40018
"75",75,181.176149004,40026
"76",76,1233.029994998,40037
"77",77,5003.457264979,40021
"78",78,4480.370346362,40028
"79",79,721.576465164,40030
"80",80,1755.795780948,40008
"81",81,2592.043694088,40033
"82",82,10243.16242683,40013
"83",83,2334.089711455,40010
"84",84,2662.578067955,40032
"85",85,3779.446933116,40050
"86",86,3004.436159546,40033
"87",87,1218.310381339,40027
"88",88,16195.851891033,40037
"89",89,1364.306808004,40042
"90",90,1377.460066348,40027
"91",91,519.277533859,40014
"92",92,9981.111719044,40032
"93",93,2899.891614108,40033
"94",94,10131.679843057,40049
"95",95,5789.619538888,40044
"96",96,1260.819707241,40044
"97",97,12604.042547169,40049
"98",98,1909.210863409,40027
"99",99,11888.330349857,40046
"100",100,3650.159877832,40024
"101",101,1108.075068012,40034
"102",102,272.75937391,40043
"103",103,3098.391809017,40021
"104",104,3764.892057053,40012
"105",105,4273.25288319,40011
"106",106,3662.484042289,40025
"107",107,334.793115711,40018
"108",108,4500.49668527,40012
"109",109,2144.832564767,40031
"110",110,4517.405393333,40036
"111",111,1330.555444831,40042
"112",112,1799.364159491,40032
"113",113,815.006257478,40036
