"","options","x1","x2","x3","x4","x5","x6"
"1",1,2,0,1,0,0,0
"2",2,1,0,0,1,1,0
"3",3,0,1,0,1,0,0
"4",4,0,0,0,1,0,0
"5",5,1,3,2,3,0,0
"6",6,5,3,2,6,1,0
"7",7,5,7,5,5,3,0
"8",8,9,24,10,17,4,0
"9",9,16,32,15,22,6,1
"10",10,51,50,29,40,4,0
"11",11,81,73,39,55,15,0
"12",12,246,287,210,213,77,1
"13",13,462,495,373,318,147,0
"14",14,567,693,423,457,167,3
"15",15,504,805,595,650,307,12
"16",16,266,1222,792,950,469,19
"17",17,67,928,483,583,313,19
"18",18,0,1050,591,791,443,57
"19",19,0,482,253,307,204,54
"20",20,0,317,206,323,212,68
"21",21,0,222,191,287,136,64
"22",22,0,117,127,150,77,46
"23",23,0,62,87,98,41,31
"24",24,0,26,67,62,39,31
"25",25,0,5,65,116,68,63
"26",26,0,0,38,37,14,18
"27",27,0,0,36,19,17,18
"28",28,0,0,26,35,13,15
"29",29,0,0,11,9,4,6
"30",30,0,0,18,45,33,63
"31",31,0,0,5,13,3,6
"32",32,0,0,3,11,4,8
"33",33,0,0,3,8,5,2
"34",34,0,0,2,13,2,7
"35",35,0,0,0,26,11,57
"36",36,0,0,0,11,2,8
"37",37,0,0,0,6,1,1
"38",38,0,0,0,11,1,7
"39",39,0,0,0,8,2,1
"40",40,0,0,0,16,8,25
"41",41,0,0,0,1,2,2
"42",42,0,0,0,0,2,3
"43",43,0,0,0,2,1,2
"44",44,0,0,0,4,0,1
"45",45,0,0,0,1,6,18
"46",46,0,0,0,3,0,2
"47",47,0,0,0,1,0,1
"48",48,0,0,0,1,3,2
"49",49,0,0,0,1,0,3
"50",50,0,0,0,0,3,6
"51",52,0,0,0,0,3,0
"52",53,0,0,0,0,1,0
"53",54,0,0,0,0,0,1
"54",55,0,0,0,0,1,4
"55",56,0,0,0,0,1,0
"56",59,0,0,0,0,1,0
"57",60,0,0,0,0,0,4
"58",61,0,0,0,0,0,1
"59",62,0,0,0,0,0,1
"60",64,0,0,0,0,0,1
"61",65,0,0,0,0,0,2
"62",68,0,0,0,0,0,1
"63",69,0,0,0,0,0,1
"64",70,0,0,0,0,0,1
"65",72,0,0,0,0,0,1
"66",77,0,0,0,0,0,1
