"","options","x1","x2","x3","x4","x5","x6","x7"
"1",1,1,0,0,0,0,1,1
"2",2,2,0,0,0,0,0,1
"3",3,2,0,0,0,0,0,0
"4",4,1,0,0,0,0,0,0
"5",5,6,0,0,0,0,1,2
"6",6,7,2,2,0,0,3,3
"7",7,9,3,4,0,1,4,4
"8",8,38,5,2,1,0,6,12
"9",9,60,16,2,1,0,3,10
"10",10,94,23,8,2,0,11,36
"11",11,149,33,9,1,2,20,49
"12",12,607,129,46,6,8,63,175
"13",13,1098,184,53,14,23,93,330
"14",14,1460,269,56,14,27,107,377
"15",15,1937,303,51,13,47,116,406
"16",16,2549,416,73,13,76,147,444
"17",17,1658,256,39,13,42,76,309
"18",18,1976,352,48,17,86,108,345
"19",19,900,149,19,6,29,53,144
"20",20,780,157,10,8,36,34,101
"21",21,587,144,15,1,27,23,103
"22",22,368,63,3,1,17,19,46
"23",23,221,38,7,2,11,9,31
"24",24,148,30,2,3,9,7,26
"25",25,226,42,4,1,7,9,28
"26",26,66,10,1,1,4,4,21
"27",27,60,12,3,1,2,2,10
"28",28,64,7,2,1,2,4,9
"29",29,19,5,0,0,0,0,6
"30",30,110,19,5,1,5,4,15
"31",31,17,4,1,0,2,1,2
"32",32,20,1,0,0,2,0,3
"33",33,11,2,0,0,1,1,3
"34",34,16,2,1,0,1,0,4
"35",35,75,7,1,2,0,2,7
"36",36,16,4,0,0,0,1,0
"37",37,5,1,0,0,1,0,1
"38",38,16,2,0,0,0,0,1
"39",39,8,2,0,0,1,0,0
"40",40,39,2,1,0,1,2,4
"41",41,5,0,0,0,0,0,0
"42",42,4,1,0,0,0,0,0
"43",43,4,0,1,0,0,0,0
"44",44,4,0,0,0,1,0,0
"45",45,24,0,1,0,0,0,0
"46",46,3,0,1,0,0,0,1
"47",47,1,0,1,0,0,0,0
"48",48,3,0,2,0,0,0,1
"49",49,4,0,0,0,0,0,0
"50",50,8,0,1,0,0,0,0
"51",52,2,0,0,0,1,0,0
"52",53,1,0,0,0,0,0,0
"53",54,1,0,0,0,0,0,0
"54",55,5,0,0,0,0,0,0
"55",56,1,0,0,0,0,0,0
"56",59,1,0,0,0,0,0,0
"57",60,3,0,0,0,0,0,1
"58",61,1,0,0,0,0,0,0
"59",62,1,0,0,0,0,0,0
"60",64,0,0,0,0,1,0,0
"61",65,1,0,0,0,0,0,1
"62",68,1,0,0,0,0,0,0
"63",69,1,0,0,0,0,0,0
"64",70,0,0,0,0,0,1,0
"65",72,1,0,0,0,0,0,0
"66",77,0,0,0,0,0,1,0
