"","options","x1","x2","x3","x4","x5","x6","x7"
"1",1,2047374,305819,29538,12017,65013,73320,364155
"2",2,1388995,262263,14850,1008,31477,36913,261758
"3",3,829381,132454,6336,1822,24904,20912,145417
"4",4,651644,179302,11326,650,6575,26289,140444
"5",5,807801,207144,1036,149,7900,24073,192462
"6",6,273513,50582,11465,1554,1732,11736,48859
"7",7,233771,149361,2459,0,931,27266,76954
"8",8,308753,44291,1828,3056,13842,316,33004
"9",9,98517,32810,0,0,0,2650,7185
"10",10,552714,88698,754,0,29324,14428,108581
"11",11,13473,0,975,0,0,751,0
"12",12,388016,59190,1341,0,4978,2840,43999
"13",13,55831,3025,0,0,0,1006,5069
"14",14,88753,13802,8104,0,1918,2002,22273
"15",15,680187,179182,13112,3581,23224,29828,165701
"16",16,88159,8037,0,7400,0,508,26792
"17",17,66768,11327,0,0,5992,2220,1381
"18",18,36106,46639,1000,1840,0,3609,23702
"19",19,12050,9696,0,0,0,2229,2198
"20",20,878684,304409,15124,8730,19596,55989,161145
"21",21,88212,4571,0,0,0,3581,0
"22",22,31768,25094,518,1060,0,3705,16953
"23",23,67847,9074,0,0,7121,493,16588
"24",24,149752,20769,0,1895,1136,1612,3591
"25",25,889827,153748,4424,10967,24264,24505,161014
"26",26,125123,7661,104,0,0,8186,39686
"27",27,182399,20329,491,5634,7342,11729,24788
"28",28,508446,70021,10863,29806,4647,14726,45784
"29",29,224219,56186,1124,0,0,5166,7726
"30",30,3011072,807764,30411,25636,57478,141715,555228
