"","options","x1","x2"
"1",1,1598641,1298594
"2",2,1037060,960204
"3",3,697640,463588
"4",4,576149,440081
"5",5,694206,546359
"6",6,264700,134742
"7",7,277600,213141
"8",8,298342,106748
"9",9,104426,36736
"10",10,480696,313803
"11",11,4678,10520
"12",12,292169,208195
"13",13,54429,10502
"14",14,80018,56833
"15",15,665602,429212
"16",16,81119,49778
"17",17,59973,27714
"18",18,88978,23918
"19",19,26094,79
"20",20,902602,541074
"21",21,91792,4571
"22",22,61994,17104
"23",23,81579,19543
"24",24,152548,26207
"25",25,926072,342676
"26",26,127127,53633
"27",27,144899,107813
"28",28,526374,157918
"29",29,195825,98596
"30",30,3187650,1441654
