"","NEWRACE2","Freq","Usage"
"1","Asian",2458451.76068489,1
"2","Black/Afr Am",13443737.1108828,1
"3","Hispanic",13691268.3461777,1
"4","More than one race",2406645.01113523,1
"5","Native Am/AK Native ",763011.43239465,1
"6","Native HI/Other Pac Isl",510909.152976053,1
"7","White",83977667.8962276,1
"8","Asian",11396534.8842539,2
"9","Black/Afr Am",18223187.0168285,2
"10","Hispanic",28756261.1053577,2
"11","More than one race",2050737.95292476,2
"12","Native Am/AK Native ",609197.317270894,2
"13","Native HI/Other Pac Isl",515493.034601548,2
"14","White",86100092.2213685,2
