"","CASEID","NEWRACE2","IRSEX","CATAG6","MJEVER"
"1",1,1,2,6,2
"2",2,1,1,2,1
"3",3,7,2,3,2
"4",4,2,2,5,1
"5",5,2,2,5,2
"6",6,1,1,1,2
"7",7,1,1,1,2
"8",8,1,2,1,2
"9",9,1,1,4,1
"10",10,1,2,1,2
"11",11,1,1,2,2
"12",12,7,1,1,2
"13",13,1,1,2,1
"14",14,2,2,3,1
"15",15,1,2,2,2
"16",16,1,1,2,1
"17",17,7,1,3,1
"18",18,1,1,4,1
"19",19,7,1,4,1
"20",20,1,2,1,2
"21",21,2,2,1,2
"22",22,1,1,3,1
"23",23,7,2,5,2
"24",24,7,1,4,2
"25",25,7,2,3,2
"26",26,7,2,3,2
"27",27,7,2,1,2
"28",28,1,2,4,1
"29",29,2,1,4,2
"30",30,1,1,1,2
"31",31,1,2,1,2
"32",32,1,2,6,2
"33",33,1,2,6,2
"34",34,4,1,4,1
"35",35,1,2,1,2
"36",36,1,1,2,1
"37",37,1,1,5,1
"38",38,1,1,3,2
"39",39,1,2,1,2
"40",40,6,1,1,2
"41",41,1,1,1,1
"42",42,1,2,4,2
"43",43,1,2,4,1
"44",44,1,1,5,1
"45",45,5,2,1,1
"46",46,1,2,5,1
"47",47,1,2,2,1
"48",48,1,2,1,1
"49",49,1,2,1,2
"50",50,1,1,4,1
"51",51,1,2,2,1
"52",52,7,2,2,1
"53",53,1,2,2,2
"54",54,7,1,2,1
"55",55,7,1,2,2
"56",56,2,1,1,1
"57",57,1,1,2,2
"58",58,1,1,4,1
"59",59,1,1,1,2
"60",60,1,2,6,2
"61",61,1,1,5,2
"62",62,6,2,5,2
"63",63,1,1,1,2
"64",64,7,2,5,1
"65",65,1,2,1,2
"66",66,7,1,2,2
"67",67,1,1,1,2
"68",68,7,1,4,2
"69",69,1,1,3,1
"70",70,7,1,1,2
"71",71,1,2,4,2
"72",72,1,1,1,2
"73",73,1,1,3,1
"74",74,6,2,1,2
"75",75,6,2,1,1
"76",76,1,1,3,1
"77",77,7,2,2,2
"78",78,1,2,6,2
"79",79,3,2,2,1
"80",80,1,2,1,2
"81",81,1,2,1,2
"82",82,2,1,3,1
"83",83,1,1,1,2
"84",84,1,1,1,2
"85",85,1,1,1,2
"86",86,2,2,3,1
"87",87,1,2,2,2
"88",88,7,2,2,2
"89",89,1,2,2,2
"90",90,1,1,5,1
"91",91,1,2,4,2
"92",92,1,2,5,1
"93",93,1,2,1,2
"94",94,2,1,2,1
"95",95,1,1,4,1
"96",96,1,2,6,1
"97",97,1,2,6,1
"98",98,7,2,3,2
"99",99,1,1,2,1
"100",100,1,1,2,1
"101",101,1,2,6,1
"102",102,1,2,1,2
"103",103,1,2,2,2
"104",104,1,1,4,1
"105",105,1,1,4,1
"106",106,1,2,2,2
"107",107,7,1,1,2
"108",108,1,2,4,2
"109",109,2,1,4,2
"110",110,1,1,2,1
"111",111,7,2,3,2
"112",112,7,1,5,2
"113",113,1,1,4,1
"114",114,1,2,5,1
"115",115,5,2,3,2
"116",116,7,2,3,2
"117",117,1,1,1,2
"118",118,1,1,2,1
"119",119,2,1,2,2
"120",120,1,1,2,2
"121",121,1,1,1,2
"122",122,1,2,4,1
"123",123,3,1,6,1
"124",124,1,2,6,2
"125",125,7,2,5,2
"126",126,1,1,2,2
"127",127,1,2,4,1
"128",128,7,1,2,1
"129",129,1,2,2,2
"130",130,1,2,5,1
"131",131,1,1,1,2
"132",132,1,2,2,1
"133",133,1,2,4,2
"134",134,2,1,1,2
"135",135,7,2,1,2
"136",136,1,1,1,2
"137",137,1,2,4,1
"138",138,1,2,2,2
"139",139,1,2,3,1
"140",140,2,1,5,1
"141",141,5,1,4,2
"142",142,1,2,3,1
"143",143,7,1,4,2
"144",144,6,2,1,2
"145",145,1,1,6,2
"146",146,2,2,4,2
"147",147,2,2,2,2
"148",148,7,1,1,2
"149",149,1,2,4,1
"150",150,1,1,6,2
"151",151,1,2,1,2
"152",152,1,2,2,2
"153",153,2,1,2,2
"154",154,1,2,2,1
"155",155,7,2,1,2
"156",156,1,2,2,2
"157",157,2,1,5,2
"158",158,7,1,1,2
"159",159,1,2,1,2
"160",160,1,1,4,1
"161",161,1,1,2,2
"162",162,1,2,5,1
"163",163,2,1,1,2
"164",164,1,2,2,2
"165",165,1,1,6,2
"166",166,1,1,4,2
"167",167,1,2,3,1
"168",168,1,1,2,2
"169",169,7,2,4,2
"170",170,1,2,2,1
"171",171,1,2,5,2
"172",172,1,1,5,1
"173",173,1,1,4,2
"174",174,5,1,4,2
"175",175,3,2,4,1
"176",176,1,1,1,1
"177",177,7,2,1,2
"178",178,1,1,3,2
"179",179,3,2,2,1
"180",180,1,1,1,2
"181",181,1,1,3,1
"182",182,1,2,1,2
"183",183,1,2,3,1
"184",184,1,2,2,1
"185",185,2,1,1,2
"186",186,1,1,4,2
"187",187,1,1,1,2
"188",188,1,2,6,2
"189",189,1,1,5,2
"190",190,1,2,1,2
"191",191,2,1,1,2
"192",192,5,1,1,2
"193",193,6,1,2,1
"194",194,7,1,2,2
"195",195,7,2,3,2
"196",196,6,2,1,2
"197",197,1,2,2,1
"198",198,1,1,4,2
"199",199,7,2,6,2
"200",200,6,1,2,2
"201",201,1,1,3,1
"202",202,3,1,2,2
"203",203,1,1,1,2
"204",204,1,2,1,2
"205",205,7,2,4,2
"206",206,1,2,4,1
"207",207,7,1,3,2
"208",208,1,1,4,1
"209",209,2,2,3,2
"210",210,7,1,4,2
"211",211,2,1,2,1
"212",212,1,1,1,2
"213",213,1,2,6,2
"214",214,1,2,1,2
"215",215,1,1,2,1
"216",216,1,1,5,2
"217",217,2,1,4,2
"218",218,5,2,1,2
"219",219,7,2,5,2
"220",220,1,2,1,2
"221",221,7,2,3,2
"222",222,7,2,1,1
"223",223,1,1,3,1
"224",224,7,2,4,2
"225",225,1,1,5,1
"226",226,6,2,1,1
"227",227,1,2,1,2
"228",228,1,1,6,2
"229",229,1,2,4,1
"230",230,1,1,5,1
"231",231,1,2,4,2
"232",232,1,2,3,2
"233",233,1,1,1,2
"234",234,1,2,1,2
"235",235,1,1,2,2
"236",236,3,1,4,1
"237",237,7,1,1,2
"238",238,2,1,2,2
"239",239,1,1,2,2
