"","IRPINC3","Freq","Usage","Percentage"
"1","1",28425866.6367965,1,24.2434599147797
"2","2",20835947.1844029,1,17.7702744055535
"3","3",13927084.7334768,1,11.8779393704999
"4","4",12808754.071557,1,10.9241529857209
"5","5",9979593.68938214,1,8.51125781548347
"6","6",14147399.3453845,1,12.0658382490345
"7","7",17127045.0494791,1,14.6070772589281
"8","1",51836779.5989549,0,35.1075189610296
"9","2",26078287.9048443,0,17.6620537420301
"10","3",18143612.3156942,0,12.2881324480977
"11","4",13179465.7662562,0,8.92606268878651
"12","5",10152025.0469192,0,6.87566655538817
"13","6",13169126.7851031,0,8.91906040238522
"14","7",15092206.114834,0,10.2215052022827
